character,G_x,G_y,M,Euclid
枝,242,249,39076,8.06225774829855
祉,242,270,36190,21.540659228538015
肢,236,252,44087,14.142135623730951
姿,248,258,40269,8.246211251235321
思,248,238,40192,12.165525060596439
指,254,257,43213,8.06225774829855
施,254,259,44764,9.848857801796104
師,238,245,45682,13.0
恣,255,256,35361,7.810249675906654
紙,238,258,44476,14.422205101855956
脂,248,255,47369,5.385164807134504
視,263,245,45017,13.92838827718412
紫,250,245,40076,5.0
詞,259,241,43133,12.727922061357855
歯,251,264,46315,14.035668847618199
嗣,247,243,51373,7.615773105863909
試,240,252,40607,10.198039027185569
詩,245,250,41838,5.0
資,250,254,44354,4.0
飼,258,247,48008,8.54400374531753
誌,240,261,41904,14.866068747318506
雌,251,258,50416,8.06225774829855
摯,239,239,48046,15.556349186104045
賜,255,238,49874,13.0
諮,243,256,45060,9.219544457292887
示,246,238,29999,12.649110640673518
字,249,227,32128,23.021728866442675
寺,256,243,33762,9.219544457292887
次,255,249,28749,5.0990195135927845
耳,256,226,36305,24.73863375370596
自,249,263,35884,13.038404810405298
似,242,257,35905,10.63014581273465
児,262,237,36036,17.69180601295413
事,250,244,46323,6.0
侍,257,243,37963,9.899494936611665
治,257,265,34070,16.55294535724685
持,250,245,38890,5.0
