character,G_x,G_y,M,Euclid
結,247,261,57669,11.40175425099138
傑,254,247,60772,5.0
潔,266,251,56878,16.0312195418814
月,273,230,39726,30.479501308256342
犬,259,247,38210,9.486832980505138
件,243,239,44497,13.038404810405298
見,251,241,48767,9.055385138137417
券,248,245,55791,5.385164807134504
肩,255,234,60443,16.76305461424021
建,255,252,67384,5.385164807134504
研,247,230,55277,20.223748416156685
県,247,238,55271,12.36931687685298
倹,250,253,59389,3.0
兼,253,253,65068,4.242640687119285
剣,258,251,57450,8.06225774829855
拳,247,245,61549,5.830951894845301
軒,225,236,53112,28.653097563788805
健,256,253,67789,6.708203932499369
険,233,246,59708,17.46424919657298
圏,249,243,67528,7.0710678118654755
堅,236,244,62482,15.231546211727817
検,251,253,60258,3.1622776601683795
嫌,250,254,70988,4.0
献,241,254,61110,9.848857801796104
絹,260,250,62440,10.0
遣,261,261,60107,15.556349186104045
権,255,252,63884,5.385164807134504
憲,250,251,60944,1.0
賢,242,235,63334,17.0
謙,250,256,68508,6.0
鍵,254,251,67896,4.123105625617661
繭,250,245,70746,5.0
顕,248,238,65036,12.165525060596439
験,246,246,64245,5.656854249492381
懸,247,243,63424,7.615773105863909
元,253,240,41645,10.44030650891055
幻,258,256,42856,10.0
玄,244,263,43400,14.317821063276353
言,249,242,51349,8.06225774829855
弦,243,256,51884,9.219544457292887
限,239,237,61535,17.029386365926403
原,244,235,57006,16.15549442140351
現,259,234,56395,18.35755975068582
舷,239,260,59493,14.866068747318506
減,262,262,55937,16.97056274847714
源,260,242,57624,12.806248474865697
厳,242,259,63149,12.041594578792296
己,233,247,36879,17.26267650163207
戸,245,201,38575,49.25444142409901
古,253,270,40754,20.223748416156685
呼,241,226,46811,25.632011235952593
固,249,246,63898,4.123105625617661
股,241,244,59822,10.816653826391969
虎,248,253,52075,3.605551275463989
孤,247,249,56480,3.1622776601683795
弧,245,249,56183,5.0990195135927845
故,245,258,53000,9.433981132056603
枯,249,256,52119,6.082762530298219
個,267,254,63630,17.46424919657298
庫,252,251,58878,2.23606797749979
湖,276,251,56870,26.019223662515376
雇,250,243,67454,7.0
